Name,SMILES
72,Oc(c1)c(O)cc(c12)C[C@@H](C[N+]2(C)C)NC(=O)[C@H](CO)NC(=O)[C@@H](CO)NC(=O)[C@H]([C@H](O)C)NC(=O)C[C@H](O)C[C@@H](O)[C@H]3N=C(OC3)c4c(O)cccc4
73,Oc(c1)c(O)cc(c12)C[C@H](C[N+]2(C)C)NC(=O)[C@H](CO)NC(=O)[C@@H](CO)NC(=O)[C@H]([C@H](O)C)NC(=O)C[C@@H](O)C[C@@H]3OC(=N[C@H]3CO)c4c(O)cccc4
74,Oc(c1)c(O)cc(c12)C[C@@H](C[N+]2(C)C)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@@H]([C@@H](O)C)NC(=O)C[C@@H](O)C[C@@H](O)[C@@H](CO)NC(=O)c3c(O)cccc3
75,c1ccc(O)c(O)c1C(SC2)=N[C@@H]2C(=O)N(O)CCc3[nH]c[nH+]c3
76,O=C(C)N(O)CCC[C@@H](C([O-])=O)NC(=O)[C@@H](CO)NC(=O)[C@H](CCCN(O)C(=O)C)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@H]([C@@H](O)C([O-])=O)NC(=O)CCC/C=C\CCCCCC
77,O=C(C)N(O)CCC[C@@H](C([O-])=O)NC(=O)[C@@H](CO)NC(=O)[C@H](CCCN(O)C(=O)C)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@H]([C@@H](O)C([O-])=O)NC(=O)CCCCCCCCCCC
78,O=C(C)N(O)CCC[C@@H](C([O-])=O)NC(=O)[C@@H](CO)NC(=O)[C@H](CCCN(O)C(=O)C)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@H]([C@@H](O)C([O-])=O)NC(=O)CCCCC/C=C\CCCCCC
79,O=C(C)N(O)CCC[C@H](C([O-])=O)NC(=O)[C@@H](CO)NC(=O)[C@@H](CCCN(O)C(=O)C)NC(=O)[C@@H](CCC(=O)N)NC(=O)[C@@H](CO)NC(=O)[C@@H](CO)NC(=O)[C@@H]([C@H](O)C([O-])=O)NC(=O)CCCCCCCCCCCCC
80,CCCCCCCCC[C@H](O)CC(=O)N[C@@H]([C@@H](O)C([O-])=O)C(=O)N[C@H](CO)C(=O)N[C@H](CO)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CCCN(O)C(=O)C)C(=O)N[C@H](CO)C(=O)N[C@H](C([O-])=O)CCCN(O)C(=O)C
81,O=C(C)N(O)CCC[C@@H](C([O-])=O)NC(=O)[C@@H](CO)NC(=O)[C@H](CCCN(O)C(=O)C)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@H]([C@@H](O)C([O-])=O)NC(=O)CCCCCCCCC
